Mstar (Msun),Age log(years),Age (Myr),Teff (K),log(L/Lsun),logg (g/cm^3),Rstar (Rsun)
0.17,6.662261,4.594740622,3158,-1.31,3.929,0.741
0.17,6.67399,4.720521717,3161,-1.317,3.938,0.733
0.17,6.679859,4.784747233,3162,-1.321,3.943,0.729
0.17,6.691606,4.915933507,3165,-1.329,3.952,0.721
0.17,6.703358,5.050774742,3169,-1.337,3.962,0.713
0.17,6.709238,5.119623218,3170,-1.34,3.967,0.709
0.17,6.720996,5.260124216,3174,-1.348,3.976,0.701
0.17,6.732756,5.404505959,3178,-1.355,3.986,0.694
0.17,6.744513,5.552812384,3181,-1.363,3.995,0.686
0.17,6.75039,5.628465391,3183,-1.367,4,0.683
0.17,6.762146,5.782904229,3184,-1.375,4.009,0.675
0.17,6.773934,5.942018505,3185,-1.385,4.019,0.668
